active_backlog,branch_issue_deadline,btech_ctc,btech_home,cgpa,company_name,exam_date,idd_imd_ctc,idd_imd_home,interview_date,mtech_ctc,mtech_home,phd_ctc,phd_home,ppt_date,profile,status,total_backlog,updated_at,willingness_deadline,x_percent,xii_percent,che,mec,bme,phe,phy,bce,ece,eee,min,cse,met,mst,civ,cer,mat,chy,btech,idd,mtech,phd
0.0,2017-08-09 13:00:00,17 lakhs,,8.0,EDGEVERVE,,17 lakhs,,,,,,,,,Under Branch Issue,0.0,2017-08-06 16:11:00,,70.0,70.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
0.0,2017-08-08 12:00:00,23.84 lakhs,,0.0,FLIPKART,,23.84 lakhs,,,,,,,,,Under Branch Issue,0.0,2017-08-06 15:40:00,,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
0.0,2017-07-30 23:00:00,"22,38,750","12,00,000",7.0,Microsoft,,"22,38,750","12,00,000",,,,,,,,Under Branch Issue,0.0,2017-07-27 12:38:00,,0.0,0.0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0
0.0,2017-07-20 23:00:00,"31,50,000","21,00,000",0.0,Goldman Sachs,,"31,50,000","21,00,000",,"31,50,000","21,00,000",,,,Analyst,Under Branch Issue,0.0,2017-07-25 15:10:00,,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0.0,2017-07-21 23:00:00,"27,50,000","16,00,000",7.5,Myntra,,"27,50,000","16,00,000",,,,,,,Software Engineer,Under Branch Issue,0.0,2017-07-20 16:21:00,,75.0,75.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
0.0,2017-07-24 23:00:00,7-9 Lakhs,Inclusive of 20% variable pay,7.5,POWER2SME,,7-9.5 Lakhs,Inclusive of 20% variable pay,,,,,,,Software Engineer,Under Branch Issue,0.0,2017-07-20 09:30:00,,0.0,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
0.0,2017-07-11 23:00:00,2700000,2000000,0.0,NUTANIX,,2800000,2100000,,,,,,2017-07-30 00:00:00,Member of Technical Staff,Under Branch Issue,0.0,2017-07-17 22:17:00,,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
0.0,2017-07-20 23:00:00,"17,51,025","15,00,000",6.0,Societe Generale,,"17,51,025","15,00,000",,,,,,,Sr. Software Engineer,Under Branch Issue,0.0,2017-07-13 14:32:00,,0.0,0.0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0
0.0,2017-07-18 23:00:00,"18,00,000","15,00,000",8.0,Swiggy,,"18,00,000","15,00,000",,,,,,,Software Development Engineer,Under Branch Issue,0.0,2017-07-11 12:20:00,,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
0.0,2017-07-17 23:00:00,"8,00,000",,6.0,ZEMOSO LAB,,"8,00,000",,,"8,00,000",,,,,Software Engineer,Under Branch Issue,0.0,2017-07-10 21:34:00,,70.0,70.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
0.0,2017-07-14 23:00:00,"12,00,000","9,00,000",7.5,Innoplexus,,"12,00,000","9,00,000",,,,,,,Associate Data Engineer,Under Branch Issue,0.0,2017-07-07 12:08:00,,80.0,80.0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0
0.0,2017-07-14 23:00:00,"12,00,000","9,00,000",7.5,Innoplexus,,"12,00,000","9,00,000",,,,,,,Associate Software Engineer,Under Branch Issue,0.0,2017-07-07 12:06:00,,80.0,80.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
0.0,2017-07-11 23:00:00,"36,69,300","18,00,000",0.0,UBER,,,,,,,,,,Software Engineer,Under Branch Issue,0.0,2017-07-05 11:25:00,,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
0.0,2017-07-11 23:00:00,"5,50,000","4,80,000",6.5,Beehyv,,"5,50,000","4,80,000",,,,,,,Software Developer,Under Branch Issue,0.0,2017-07-04 16:25:00,,75.0,75.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
0.0,2017-07-11 23:00:00,"25,00,000","22,00,000",0.0,CODENATION,,"25,00,000","22,00,000",,,,,,,Software Developer Engineer,Under Branch Issue,0.0,2017-07-04 15:44:00,,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
